| contractAddress                            | name                                   | created_at                    | jsonb           |
| ------------------------------------------ | -------------------------------------- | ----------------------------- | --------------- |
| 0x971a6ff4f5792f3e0288f093340fb36a826aae96 | AltNouns                               | 2022-09-09 10:27:25.216793+00 | [object Object] |
| 0x97597002980134bea46250aa0510c9b90d87a587 | Chain Runners                          | 2022-09-09 10:27:29.820654+00 | [object Object] |
| 0x600a4446094c341693c415e6743567b9bfc8a4a8 | Anchor Certificates                    | 2022-09-09 10:27:25.593793+00 | [object Object] |
| 0xbad6186e92002e312078b5a1dafd5ddf63d3f731 | Anonymice                              | 2022-09-09 10:27:25.967843+00 | [object Object] |
| 0x5283fc3a1aac4dac6b9581d3ab65f4ee2f3de7dc | AsciiPunks                             | 2022-09-09 10:27:26.938056+00 | [object Object] |
| 0xd4e4078ca3495de5b1d4db434bebc5a986197782 | Autoglyphs                             | 2022-09-09 10:27:27.308475+00 | [object Object] |
| 0xf3e778f839934fc819cfa1040aabacecba01e049 | Avastar                                | 2022-09-09 10:27:27.650439+00 | [object Object] |
| 0x73a8ce3f662a1e66563d05606bc5a8ab71a4d924 | Bitstrays                              | 2022-09-09 10:27:28.018987+00 | [object Object] |
| 0x5bdf397bb2912859dbd8011f320a222f79a28d2e | Corruptions                            | 2022-09-09 10:27:30.202708+00 | [object Object] |
| 0x8d04a8c79ceb0889bdd12acdf3fa9d207ed3ff63 | Blitmap                                | 2022-09-09 10:27:28.359025+00 | [object Object] |
| 0x28812ec6e46c3e5093de25e954a026ff99a57d53 | Blockheads                             | 2022-09-09 10:27:28.749082+00 | [object Object] |
| 0xfa12fae65134a8f2041a68b88a253d23e7914804 | boncuk                                 | 2022-09-09 10:27:29.091405+00 | [object Object] |
| 0x91047abf3cab8da5a9515c8750ab33b4f1560a7a | ChainFaces                             | 2022-09-09 10:27:29.45903+00  | [object Object] |
| 0x71ede9894aeb2ff2da92d2ca4865d37d1ab77a1b | Cranes (2021 Special Editions)         | 2022-09-09 10:27:30.574908+00 | [object Object] |
| 0x5c7b6d004f9bea6051270b4208bf5e4e7ba9bbc9 | CryptoSVG                              | 2022-09-09 10:27:30.934795+00 | [object Object] |
| 0xff07f31678e873c06938f17452cb99ed58a97e5d | Embryonic                              | 2022-09-09 10:27:31.507932+00 | [object Object] |
| 0x1fff1e9e963f07ac4486503e5a35e71f4e9fb9fd | Etholvants                             | 2022-09-09 10:27:31.874834+00 | [object Object] |
| 0xc9cb0fee73f060db66d2693d92d75c825b1afdbf | First                                  | 2022-09-09 10:27:32.228457+00 | [object Object] |
| 0xb543f9043b387ce5b3d1f0d916e42d8ea2eba2e0 | fiveoutofnine                          | 2022-09-09 10:27:32.602401+00 | [object Object] |
| 0x5a876ffc6e75066f5ca870e20fca4754c1efe91f | Flowers                                | 2022-09-09 10:27:32.964804+00 | [object Object] |
| 0x5f61975816ecdc761fac1e4d6359bfd4c3941e2f | Gaussian Timepieces by Takens Theorem  | 2022-09-09 10:27:33.316573+00 | [object Object] |
| 0x71a41083c0ba125c00901ac874017671bbf9e621 | Headscapes                             | 2022-09-09 10:27:33.646516+00 | [object Object] |
| 0x32d8eba200e56480b96769ec160eecfa37414d8c | Kinochromes                            | 2022-09-09 10:27:33.971184+00 | [object Object] |
| 0xdf6e32d85d17e907e0da157fab7c12788e7161da | Kohi Kintsugi                          | 2022-09-09 10:27:34.322429+00 | [object Object] |
| 0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7 | Loot                                   | 2022-09-09 10:27:34.680575+00 | [object Object] |
| 0x8b4616926705fb61e9c4eeac07cd946a5d4b0760 | Luchadores                             | 2022-09-09 10:27:35.05672+00  | [object Object] |
| 0xdaca87395f3b1bbc46f3fa187e996e03a5dcc985 | Mandala Tokens                         | 2022-09-09 10:27:35.405393+00 | [object Object] |
| 0xa4f6c450e515adfa8e4efa558d0d58087e7d59e3 | Usr Message                            | 2022-09-09 10:27:35.77915+00  | [object Object] |
| 0x52202190e82597b6842c2622d51d213b3b8972c9 | Moon In Motion                         | 2022-09-09 10:27:36.156806+00 | [object Object] |
| 0x3146dd9c200421a9c7d7b67bd1b75ba3e2c15310 | Moose Trax                             | 2022-09-09 10:27:36.541474+00 | [object Object] |
